id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_ibu_hamil,satuan,tahun
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,83495,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,34276,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6358,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,21010,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6301,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,43647,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,5773,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,56937,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,48242,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,11623,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12413,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,3171,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,128743,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,47673,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,44426,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,79131,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,55188,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30912,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,18589,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18884,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,39534,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20284,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18834,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29020,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,26363,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19300,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44495,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,85125,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,33925,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6244,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,20902,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,6215,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,42863,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,5713,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,57307,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,48928,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,11528,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12181,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,3104,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,120516,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45681,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42829,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73098,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,51926,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29638,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17464,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17740,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,36908,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19153,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17942,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,27370,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,24181,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17785,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,41423,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,80374,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31323,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5867,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,19238,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,5804,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,41076,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,5288,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,53385,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,45956,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,10564,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11712,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,2974,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,122112,ORANG,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45659,ORANG,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42813,ORANG,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73520,ORANG,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,51928,ORANG,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29565,ORANG,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17379,ORANG,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17684,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,36905,ORANG,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,19088,ORANG,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17877,ORANG,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,27324,ORANG,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,24109,ORANG,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17789,ORANG,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,41424,ORANG,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,82661,ORANG,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31319,ORANG,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5840,ORANG,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,19309,ORANG,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,5799,ORANG,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,41072,ORANG,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,5284,ORANG,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,54212,ORANG,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,47022,ORANG,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,10570,ORANG,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11705,ORANG,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,2966,ORANG,2022
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,123535,ORANG,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,45563,ORANG,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,42730,ORANG,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73825,ORANG,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,51844,ORANG,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,29444,ORANG,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17268,ORANG,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,17600,ORANG,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,36845,ORANG,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,18993,ORANG,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17786,ORANG,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,27236,ORANG,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,24000,ORANG,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,17766,ORANG,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,41361,ORANG,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,84881,ORANG,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31264,ORANG,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5804,ORANG,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,19351,ORANG,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,5785,ORANG,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,41005,ORANG,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,5273,ORANG,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,54973,ORANG,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,48040,ORANG,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,10560,ORANG,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11681,ORANG,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,2951,ORANG,2023
